model_name,brand,processor_name,ram(GB),ssd(GB),Hard Disk(GB),storage_size,storage_type,graphics,Operating System,screen_size(inches),resolution (pixels),price,cpu_score,gpu_score,ram_score,storage_score,gaming_score,editing_score,daily_score,all_rounder_score,performance_score,usage_category,budget_category,recommendation_note
Asus Vivobook 14 OLED X1405ZA-KM311WS Laptop,Asus,12th Gen Core i3,8,512,0,512,SSD,Intel Iris Xe,Windows,14.0,2880 x 1800,51990,54,42,55,80,52.65,55.15,62.15,56.45,54.5,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Dell Alienware M15 R6 Gaming Laptop,Dell,11th Gen Core i7,16,512,0,512,SSD,6 GB NVIDIA Geforce RTX 3060,Windows,15.6,1920 x 1080,200000,78,78,80,80,78.6,78.8,79.2,78.9,78.7,All-Rounder,High Budget,Cocok untuk penggunaan serbaguna karena kuat untuk gaming dan editing sekaligus; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat
Lenovo IdeaPad Gaming 3 82K101E1IN Laptop,Lenovo,11th Gen Core i5,8,256,1000,256,SSD,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,54950,68,58,55,65,61.1,61.8,62.7,61.65,61.95,Gaming,Low Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat
Asus Vivobook 15 OLED X1505ZA-L1311WS Laptop,Asus,12th Gen Core i3,8,512,0,512,SSD,Intel Integrated UHD,Windows,15.6,1920 x 1080,50500,54,25,55,80,45.0,50.9,60.45,52.2,49.4,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Asus ROG Strix G17 2022 G713RS-LL023WS Gaming Laptop,Asus,AMD Ryzen 9 6900HX,16,1000,0,1000,SSD,8 GB NVIDIA GeForce RTX 3070 Ti,Windows,17.3,2560 x 1440,210990,90,86,80,95,87.45,87.25,88.85,87.5,87.55,All-Rounder,High Budget,Cocok untuk penggunaan serbaguna karena kuat untuk gaming dan editing sekaligus; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat
Lenovo V15 82C500XHIH Laptop,Lenovo,10th Gen Core i5,8,512,0,512,SSD,Intel UHD Graphics,Windows,15.6,1920 x 1080,47115,65,25,55,80,47.75,54.75,63.75,55.5,53.25,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Lenovo IdeaPad 3 15IAU7 82RK0090IN Laptop,Lenovo,12th Gen Core i5,16,512,0,512,SSD,Intel Iris Xe Graphics,Windows,15.6,2880 x 1800,63590,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing,Mid Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
Lenovo Thinkpad L14 20X1CTO Laptop,Lenovo,11th Gen Core i5,16,512,0,512,SSD,Intel Iris Xe Graphics,Windows,14.0,1920 x 1080,79500,68,42,80,80,59.9,66.3,72.6,66.9,64.4,Editing,Mid Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
AGB Octev VR-1818 Gaming Laptop,AGB,11th Gen Core i7,32,1000,0,1000,SSD,2 GB NVIDIA Geforce MX450,Windows,15.6,1920 x 1080,70000,78,44,95,95,67.8,76.3,84.8,77.15,73.75,Editing,Mid Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
Infinix INBook X2 Plus XL25 Laptop,Infinix,11th Gen Core i3,8,512,0,512,SSD,Intel Integrated UHD,Windows,15.6,1920 x 1080,38990,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Dell XPS 13 Plus Laptop,Dell,12th Gen Core i7,16,1000,0,1000,SSD,Intel Iris Xe Graphics,Windows,13.4,3840 x 2400,195190,81,42,80,95,65.4,73.1,81.75,73.8,71.2,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
Lenovo IdeaPad Slim 3 82RJ005CIN Laptop,Lenovo,12th Gen Core i5,8,512,0,512,SSD,‎Intel Iris Xe Graphics,Windows,14.0,1920 x 1080,59990,71,42,55,80,56.9,61.1,67.25,61.55,60.45,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Asus E410KA-BV002W Laptop,Asus,Celeron N4500,4,256,0,256,SSD,Intel UHD Graphics,Windows,14.0,1920 x 1080,24485,25,25,30,65,31.75,32.25,40.25,34.25,32.0,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
MSI Creator Pro Z17 A12UMST-237IN Gaming Laptop,MSI,12th Gen Core i7,32,1000,0,1000,SSD,16 GB NVIDIA GeForce RTX A5500,Windows,16.0,2560 x 1600,444990,81,35,95,95,64.5,75.1,84.8,75.8,72.1,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
Lenovo IdeaPad Flex 5 82R90068IN Laptop,Lenovo,AMD Ryzen 7 5700U,16,512,0,512,SSD,AMD Radeon,Windows,14.0,1920 x 1200,78990,68,30,80,80,54.5,63.3,71.4,63.9,60.8,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Dell XPS 9315 Laptop,Dell,12th Gen Core i5 ,16,512,0,512,SSD,Iris Xe,Windows,13.4,1920 x 1080,133500,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
Asus Vivobook S15 OLED S3502ZA-L701WS Laptop,Asus,12th Gen Core i7,16,512,0,512,SSD,Intel Iris XE Graphics,Windows,15.6,1920 x 1080,87500,81,42,80,80,63.15,70.85,76.5,70.8,68.95,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
Acer Aspire 3 UN.HVTSI.012 Laptop,Acer,AMD Ryzen 3 3250U,8,256,0,256,SSD,AMD Radeon AMD,Windows,15.6,1920 x 1080,29990,32,30,55,65,39.5,42.2,49.1,43.85,40.95,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
MSI Creator Z16P B12UKST-209IN Gaming Laptop,MSI,12th Gen Core i9,64,2000,0,2000,SSD,12 GB NVIDIA GeForce RTX A3000,Windows,17.3,2560 x 1600,395000,95,35,100,100,69.5,82.0,92.0,82.25,78.75,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
Lenovo Yoga 6 82UD0069IN Laptop,Lenovo,Ryzen 5 5500U,16,512,0,512,SSD,AMD Radeon Graphics,Windows,13.3,1920 x 1080,78990,62,30,80,80,53.0,61.2,69.6,62.1,58.7,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
HP 14s-fq0567AU Laptop,HP,AMD Ryzen 3 3250U,8,256,0,256,SSD,AMD Radeon AMD,Windows,14.0,1920 x 1080,36990,32,30,55,65,39.5,42.2,49.1,43.85,40.95,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
MSI Creator Pro M16 A12UJS-601IN Gaming Laptop,MSI,12th Gen Core i7,32,1000,0,1000,SSD,8 GB NVIDIA GeForce RTX A2000,Windows,16.0,2560 x 1600,196990,81,35,95,95,64.5,75.1,84.8,75.8,72.1,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
HP Omen 17-ck1023TX Gaming Laptop,HP,12th Gen Core i9,32,2000,0,2000,SSD,16 GB NVIDIA GeForce 3080Ti,Windows,16.1,2560 x 1440,299999,95,35,95,100,68.75,80.75,90.75,81.0,77.75,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
HP Omen 16-n0051AX Gaming Laptop,HP,AMD Ryzen 9 6900HX,32,1000,0,1000,SSD,8 GB AMD Radeon RX 6650M Graphics,Windows,16.1,1920 x 1080,154990,90,72,95,95,83.4,87.5,91.2,87.75,86.35,All-Rounder,High Budget,Cocok untuk penggunaan serbaguna karena kuat untuk gaming dan editing sekaligus; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat
Lenovo ThinkPad E14 21E3S04X00 Laptop,Lenovo,12th Gen Core i5,8,512,0,512,SSD,Intel Iris Xe Graphics,Windows,14.0,1920 x 1080,75000,71,42,55,80,56.9,61.1,67.25,61.55,60.45,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
HP Omen 16-k0370TX Gaming Laptop,HP,12th Gen Core i7,16,1000,0,1000,SSD,8 GB NVIDIA GeForce 3070Ti,Windows,16.1,1920 x 1080,180880,81,35,80,95,62.25,71.35,81.05,72.05,69.1,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
Chuwi Gemibook Pro Laptop,Chuwi,Intel Celeron N5100,8,256,0,256,SSD,Intel UHD 600 Graphics,Windows,14.0,2160 x 1440,27489,20,25,55,65,34.25,36.75,45.0,39.0,35.25,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
HP Omen 16-k0360TX Laptop,HP,12th Gen Core i7,16,1000,0,1000,SSD,6 GB NVIDIA GeForce RTX 3060,Windows,16.1,1920 x 1080,144480,81,78,80,95,81.6,82.1,85.35,82.8,82.0,All-Rounder,High Budget,Cocok untuk penggunaan serbaguna karena kuat untuk gaming dan editing sekaligus; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat
Lenovo Thinkbook 15 21DJA04LIH Laptop,Lenovo,12th Gen Core i5,16,512,0,512,SSD,Iris Xe Graphics,Windows,15.6,1920 x 1080,61990,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing,Mid Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
Lenovo IdeaPad Gaming 3 82S900HNIN Laptop,Lenovo,12th Gen Core i5,16,512,0,512,SSD,4 GB NVIDIA GeForce RTX 3050,Windows,15.6,1920 x 1080,80990,71,70,80,80,73.25,74.35,76.3,74.8,73.85,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
HP Omen 16-n0054AX Gaming Laptop,HP,AMD Ryzen 7 6800H,16,1000,0,1000,SSD,6 GB NVIDIA GeForce RTX 3060,Windows,16.1,1920 x 1080,139680,82,78,80,95,81.85,82.45,85.65,83.1,82.35,All-Rounder,High Budget,Cocok untuk penggunaan serbaguna karena kuat untuk gaming dan editing sekaligus; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat
Lenovo Ideapad Flex 5 82R70068IN Laptop,Lenovo,12th Gen Core i5,8,512,0,512,SSD,Intel UHD,Windows,14.0,1920 x 1200,75990,71,25,55,80,49.25,56.85,65.55,57.3,55.35,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
HP Victus 15-fb0082AX Gaming Laptop,HP,AMD Ryzen 5 5600H,8,512,0,512,SSD,4 GB NVIDIA GeForce RTX 3050,Windows,15.6,1920 x 1080,71990,72,70,55,80,69.75,68.45,70.35,68.85,69.2,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
Dell XPS 9315 Laptop,Dell,12th Gen Core i7 ,16,512,0,512,SSD,Iris Xe,Windows,13.4,1920 x 1080,132470,81,42,80,80,63.15,70.85,76.5,70.8,68.95,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
HP Omen 16-n0049AX Gaming Laptop,HP,AMD Ryzen 7 6800H,16,512,0,512,SSD,4 GB NVIDIA GeForce RTX 3050Ti,Windows,16.0,1920 x 1080,107690,82,70,80,80,76.0,78.2,79.6,78.1,77.7,All-Rounder,High Budget,Cocok untuk penggunaan serbaguna karena kuat untuk gaming dan editing sekaligus; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat
HP Omen 16-n0050AX Gaming Laptop,HP,AMD Ryzen 7 6800H,16,512,0,512,SSD,4 GB NVIDIA GeForce RTX 3050,Windows,16.0,1920 x 1080,99800,82,70,80,80,76.0,78.2,79.6,78.1,77.7,All-Rounder,High Budget,Cocok untuk penggunaan serbaguna karena kuat untuk gaming dan editing sekaligus; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat
Lenovo V14 Gen 2 ITL 82KAA001IH Laptop,Lenovo,11th Gen Core i5,8,0,1000,1000,HDD,Intel Integrated,DOS,14.0,1920 x 1080,49999,68,25,55,70,47.0,54.3,61.15,54.4,52.8,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Lenovo V15 82C30057IH Laptop,Lenovo,Intel Celeron N4020,4,0,1000,1000,HDD,Intel Integrated UHD,Windows,15.6,1920 x 1080,29999,22,25,30,70,31.75,31.95,41.1,34.35,31.7,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Lenovo IdeaPad Gaming 3 82K201V2IN Laptop,Lenovo,AMD Ryzen 7 5800H,8,512,0,512,SSD,4 GB NVIDIA GeForce RTX 3050,Windows,15.6,1920 x 1080,76990,78,70,55,80,71.25,70.55,72.15,70.65,71.3,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
Lenovo ThinkPad E14 21E3S04W00 Laptop,Lenovo,12th Gen Core i5,16,512,0,512,SSD,Intel Iris Xe Graphics,Windows,14.0,1920 x 1080,74490,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing,Mid Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
Lenovo Thinkpad E14 Gen 21E3S05800 Laptop,Lenovo,12th Gen Core i7,16,1000,0,1000,SSD,Intel Iris Xe Graphics,Windows,14.0,1920 x 1080,102490,81,42,80,95,65.4,73.1,81.75,73.8,71.2,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
Lenovo Yoga 9 82LU008TIN Laptop,Lenovo,12th Ge Core i7,16,1000,0,1000,SSD,Intel Iris Xe Graphics,Windows,14.0,3840 x 2160,179990,81,42,80,95,65.4,73.1,81.75,73.8,71.2,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
Dell Vostro 3510 2022 Laptop,Dell,11th Gen Core i3,16,256,1000,256,SSD,Intel UHD Graphics,Windows,15.6,1920 x 1080,49850,51,25,80,65,45.75,53.85,60.55,54.55,51.1,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Acer One 14 Z2-493 Business Laptop,Acer,AMD Ryzen 5 3500U,16,512,0,512,SSD,AMD Radeon Radeon Graphics,Windows,14.0,1366 x 768,39990,45,30,80,80,48.75,55.25,64.5,57.0,52.75,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Fujitsu UH-X 4ZR1K06212 Laptop,Fujitsu,12th Gen Core i7,16,512,0,512,SSD,Intel Iris Xe Graphics,Windows,13.3,1920 x 1080,99990,81,42,80,80,63.15,70.85,76.5,70.8,68.95,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
HP Envy x360 13-bf0062TU Laptop,HP,12th Gen Core i7,16,512,0,512,SSD,Intel Iris Xe Graphics,Windows,13.3,2880 x 1800,104990,81,42,80,80,63.15,70.85,76.5,70.8,68.95,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
Gigabyte G5 RC45MD Laptop,Gigabyte,11th Gen Core i5,16,512,0,512,SSD,4 GB NVIDIA GeForce RTX 3050 Ti,Windows,15.6,1920 x 1080,76600,68,73,80,80,73.85,74.05,75.7,74.65,73.7,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
Gigabyte G5 RC45GD Laptop,Gigabyte,11th Gen Core i5,16,512,0,512,SSD,4 GB NVIDIA GeForce RTX 3050,Windows,15.6,1920 x 1080,73990,68,70,80,80,72.5,73.3,75.4,73.9,72.8,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
Gigabyte G5 RC45KD Laptop,Gigabyte,11th Gen Core i5,16,512,0,512,SSD,6 GB NVIDIA GeForce RTX 3060,Windows,15.6,1920 x 1080,87800,68,78,80,80,76.1,75.3,76.2,75.9,75.2,Gaming,High Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
MSI Katana GF66 11UE-249IN Gaming Laptop,MSI,11th Gen Core i7,16,512,0,512,SSD,6 GB NVIDIA GeForce RTX 3060,Windows,15.6,1920 x 1080,115990,78,78,80,80,78.6,78.8,79.2,78.9,78.7,All-Rounder,High Budget,Cocok untuk penggunaan serbaguna karena kuat untuk gaming dan editing sekaligus; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat
Lenovo IdeaPad Gaming 3 15IAH7 82S900KQIN Laptop,Lenovo,12th Gen Core i5,16,512,0,512,SSD,4 GB NVIDIA GeForce RTX 3050,Windows,15.6,1920 x 1080,89990,71,70,80,80,73.25,74.35,76.3,74.8,73.85,Gaming,High Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
Lenovo IdeaPad Gaming 3 15IHU6 82K101EDIN Laptop,Lenovo,11th Gen Core i5,8,512,0,512,SSD,4 GB NVIDIA GeForce RTX 3050 Graphics,Windows,15.6,1920 x 1080,69500,68,70,55,80,68.75,67.05,69.15,67.65,67.8,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
Dell Latitude 3520 Laptop,Dell,11th Gen Core i3,8,256,0,256,SSD,Intel UHD Graphics,Ubuntu,15.6,1366 x 768,38700,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Honor MagicBook X15 BohrBR-WAH9F Laptop,Honor,10th Gen Core i5,8,256,0,256,SSD,Intel UHD Graphics,Windows,15.6,1920 x 1080,67318,65,25,55,65,45.5,52.5,58.5,52.5,51.0,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Dell Vostro 3510 2022 Laptop,Dell,11th Gen Core i3,8,512,0,512,SSD,Intel UHD Graphics,Windows,15.6,1920 x 1080,46300,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
HP ProBook 450 G8 4Y7G3PA Laptop,HP,11th Gen Core i3,8,256,0,256,SSD,Intel UHD Graphics,Windows,15.6,1366 x 768,48500,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Dell Vostro 3510 2022 Laptop,Dell,11th Gen Core i3,16,512,1000,512,SSD,Intel UHD Graphics,Windows,15.6,1920 x 1080,53100,51,25,80,80,48.0,56.1,65.8,57.55,53.35,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Lenovo ThinkBook 14 20VDA0QTIH Laptop,Lenovo,11th Gen Core i5,8,512,0,512,SSD,Intel UHD Graphics,DOS,14.0,1920 x 1080,60100,68,25,55,80,48.5,55.8,64.65,56.4,54.3,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Dell Vostro 3510 2022 Laptop,Dell,11th Gen Core i3,16,512,0,512,SSD,Intel UHD Graphics,Windows,15.6,1920 x 1080,49800,51,25,80,80,48.0,56.1,65.8,57.55,53.35,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Dell Latitude 3420 Laptop,Dell,11th Gen Core i3,16,512,0,512,SSD,Intel UHD Graphics,Ubuntu,14.0,1366 x 768,69500,51,25,80,80,48.0,56.1,65.8,57.55,53.35,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Fujitsu UH-X 4ZR1J37875 Laptop,Fujitsu,12th Gen Core i5,16,512,0,512,SSD,Intel Iris Xe Graphics,Windows,13.3,1920 x 1080,89990,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
Dell Latitude 3420 2022 Laptop,Dell,11th Gen Core i5,16,1000,0,1000,SSD,Intel UHD Graphics,Windows,14.0,1920 x 1080,102999,68,25,80,95,54.5,64.3,76.15,65.65,61.55,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Fujitsu UH-X 4ZR1J37876 Laptop,Fujitsu,12th Gen Core i7,16,512,0,512,SSD,Intel Iris Xe Graphics,Windows,13.3,1920 x 1080,99990,81,42,80,80,63.15,70.85,76.5,70.8,68.95,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
Acer TravelMate TMB311-31 Laptop,Acer,Intel Pentium N5030,4,128,0,128,SSD,UHD Graphics 600,Windows,11.6,1366 x 768,24990,27,25,30,50,30.0,30.7,35.6,31.85,30.45,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Lenovo IdeaPad Flex 5 81X10087IN Laptop,Lenovo,10th Gen Core i3,8,512,0,512,SSD,Intel Integrated Iris Xe,Windows,14.0,1920 x 1080,66000,48,42,55,80,51.15,53.05,60.35,54.65,52.4,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Lenovo ThinkPad E15 20TDS0TA00 Laptop,Lenovo,11th Gen Core i5,8,512,0,512,SSD,Intel Integrated UHD,Windows,15.6,1920 x 1080,71300,68,25,55,80,48.5,55.8,64.65,56.4,54.3,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
HP 250 G8 6X4B3PA Laptop,HP,11th Gen Core i3,8,512,0,512,SSD,Intel UHD,Windows,15.6,1366 x 768,36499,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Dell Vostro 5320 Laptop,Dell,12th Gen Core i5,16,512,0,512,SSD,Intel Integrated UMA,Windows,13.3,2560 x 1600,78990,71,25,80,80,53.0,63.1,71.8,63.55,60.35,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
HP Elitebook 840 G8 4S1H5PA Laptop,HP,11th Gen Core i5,8,512,0,512,SSD,Intel Iris Xe,Windows,14.0,1920 x 1080,138800,68,42,55,80,56.15,60.05,66.35,60.65,59.4,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
HP Pavilion x360 14-ek0072TU Laptop,HP,12th Gen Core i5,16,512,0,512,SSD,Intel Integrated Iris Xe,Windows,14.0,1920 x 1080,71999,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing,Mid Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
Acer Predator Helios 300 PH315-55s Spatial Labs Edition Gaming Laptop,Acer,12th Gen Core i9,32,2000,0,2000,SSD,NVIDIA GeForce RTX 3030,Windows,15.6,3840 x 2160,319999,95,76,95,100,87.2,91.0,94.85,91.25,90.05,All-Rounder,High Budget,Cocok untuk penggunaan serbaguna karena kuat untuk gaming dan editing sekaligus; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat
Dell XPS 13 Plus Laptop,Dell,12th Gen Core i5,16,512,0,512,SSD,Intel Iris Xe Graphics,Windows,13.4,3840 x 2400,171000,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
Acer Nitro 5 AN515-46 Laptop,Acer,AMD Ryzen 5 6600H,16,512,1000,512,SSD,4 GB NVIDIA GeForce RTX 3050,Windows,15.6,2560 x 1440,98990,74,70,80,80,74.0,75.4,77.2,75.7,74.9,Gaming,High Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
