model_name,brand,processor_name,ram(GB),ssd(GB),Hard Disk(GB),graphics,Operating System,screen_size(inches),resolution (pixels),no_of_cores,no_of_threads,spec_score,price,cpu_score,gpu_score,ram_score,storage_score,gaming_score,editing_score,daily_score,all_rounder_score,performance_score,usage_category,budget_category,recommendation_note,cpu_score_source,gpu_score_source
HP Omen 16-C0136AX Laptop,HP,AMD Ryzen 5 5600H,8,512,0,4 GB NVIDIA GeForce GTX 1650,Windows,16.1,1920 x 1080,6,12,72,75299,73.2,77.12,55,75,72.5,69.9,69.67,69.99,71.01,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
HP Envy x360 13-bf0058TU Laptop,HP,12th Gen Core i5,16,512,0,Intel Iris X Graphics,Windows,13.3,2880 x 1800,10,12,67,103000,99.91,14.92,80,75,54.94,69.95,77.72,68.7,66.69,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
HP Omen 17-ck1022TX Gaming Laptop,HP,12th Gen Core i7,32,1000,0,8 GB NVIDIA GeForce RTX 3070Ti,Windows,16.1,2560 x 1440,16,24,76,199999,100.0,100.0,95,90,97.75,97.25,95.25,96.75,97.5,Gaming,High Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Honor MagicBook 15 WDQ9CHNE Laptop,Honor,AMD Ryzen 5 5500U,8,256,0,AMD Radeon,Windows,15.6,1920 x 1080,6,12,51,39990,56.3,7.39,55,60,34.65,44.3,52.38,44.49,41.92,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
HP Envy x360 16-h0028TX Laptop,HP,12th Gen Core i7,16,512,0,Intel Iris X Graphics,Windows,13.3,3840 x 2400,10,12,69,143990,100.0,14.92,80,75,54.96,69.98,77.74,68.73,66.73,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
HP Envy 16-h0026tx Laptop,HP,12th Gen Core i9,32,1000,0,6 GB NVIDIA GeForce RTX 3060,Windows,15.6,3840 x 2160,14,20,78,219900,100.0,100.0,95,90,97.75,97.25,95.25,96.75,97.5,Gaming,High Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
HP Envy 16-h0025tx Laptop,HP,12th Gen Core i9,16,1000,0,6 GB NVIDIA GeForce RTX 3060,Windows,16.0,3840 x 2160,14,20,76,192490,100.0,100.0,80,90,95.5,93.5,91.5,93.0,94.5,Gaming,High Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Lenovo Legion 5 Pro 82RG00EKIN Laptop,Lenovo,AMD Ryzen 7 6800H,32,1000,0,8 GB NVIDIA GeForce RTX 3070,Windows,16.0,2560 x 1600,8,16,82,189990,99.56,100.0,95,90,97.64,97.1,95.12,96.62,97.35,Gaming,High Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Lenovo Yoga Slim 7 Pro 82SV0053IN Laptop,Lenovo,12th Gen Core i7,16,512,0,Intel Iris Xe Graphics,Windows,14.0,2880 x 1800,12,16,63,109969,100.0,28.12,80,75,60.9,73.28,79.06,72.03,70.69,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Asus VivoBook 14 X415JA-BV322WS Laptop,Asus,10th Gen Core i3,8,512,0,Intel UHD Graphics,Windows,14.0,1920 x 1080,2,4,57,33990,54.52,16.42,55,75,40.52,48.19,58.0,49.21,46.26,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Lenovo Yoga 6 82UD0068IN 2-in-1 Laptop,Lenovo,Ryzen 7 5700U,16,512,0,AMD Radeon,Windows,13.3,1920 x 1080,8,16,63,80030,68.59,7.39,80,75,43.72,57.1,67.57,57.42,53.47,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
HP Chromebook 14a-na1004TU Laptop,HP,Celeron N4500,4,0,64,Intel Integrated UHD Graphics,Chrome,14.0,1366 x 768,2,2,44,21990,8.71,16.42,30,30,18.57,19.15,22.26,20.22,18.47,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
Lenovo V14 G2-ITL 82KAA025IH Laptop,Lenovo,11th Gen Core i3,8,0,1000,Intel Integrated UHD,Windows,14.0,1920 x 1080,2,4,57,51500,54.52,16.42,55,50,36.77,44.44,49.25,44.21,42.51,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
HP Envy x360 13-bf0063TU Laptop,HP,12th Gen Core i7,16,1000,0,Intel Iris X Graphics,Windows,13.3,2880 x 1800,10,12,71,109990,100.0,14.92,80,90,57.21,72.23,82.99,71.73,68.98,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Gigabyte Aero 5 XE4 OLED Laptop,Gigabyte,12th Gen Core i7,16,1000,0,8 GB NVIDIA GeForce RTX 3070Ti,Windows,15.6,1920 x 1080,14,20,81,185490,100.0,100.0,80,90,95.5,93.5,91.5,93.0,94.5,Gaming,High Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Lenovo V14-IIL 82C4019YIH Laptop,Lenovo,10th Gen Core i5,4,256,0,Intel Integrated UHD,Windows,14.0,1366 x 768,4,8,47,48000,99.91,16.42,30,60,45.87,55.57,60.11,53.58,54.89,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
Asus VivoBook 14 2022 X1402ZA-EK521WS Laptop,Asus,12th Gen Core i5,8,512,0,Intel Integrated UHD,Windows,14.0,1920 x 1080,10,12,63,53990,99.91,16.42,55,75,51.87,64.07,71.61,62.83,62.14,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Asus VivoBook 14 2022 X1402ZA-MW512WS Laptop,Asus,12th Gen Core i5,16,512,0,Intel Integrated Iris Xe,Windows,14.0,1920 x 1080,12,16,67,66990,99.91,28.12,80,75,60.88,73.25,79.04,72.0,70.65,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Asus VivoBook 14 2022 X1402ZA-MW311WS Laptop,Asus,12th Gen Core i3,8,512,0,Intel Integrated UHD,Windows,14.0,1920 x 1080,10,12,63,45990,54.52,16.42,55,75,40.52,48.19,58.0,49.21,46.26,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Lenovo Thinkpad E14 Gen 2 20TBS4K300 Laptop,Lenovo,11th Gen Core i5,8,512,0,Intel UHD,DOS,14.1,1920 x 1080,4,8,56,71449,71.0,26.45,55,75,49.15,56.46,63.94,56.66,55.04,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
Lenovo E41-55 ‎82C700FNGE Laptop,Lenovo,Athlon Pro 3045B,4,0,1000,AMD Radeon Graphics,Windows,15.6,1920 x 1080,2,2,42,21999,33.16,73.06,30,50,53.17,44.87,42.25,45.71,47.02,Gaming,Low Budget,Cocok untuk gaming dan kebutuhan grafis tinggi,benchmark,benchmark
Dell Latitude 3420 Laptop,Dell,11th Gen Core i5,16,512,1000,Intel UHD Graphics,Windows,14.0,1366 x 768,4,8,65,75800,71.0,16.42,80,80,49.14,60.96,70.94,61.4,57.78,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
HP 250 G8 6G9R1PA Notebook,HP,11th Gen Core i3,8,512,0,Intel Integrated Intel® UHD Graphics,DOS,15.6,1366 x 768,0,0,0,35979,54.52,16.42,55,75,40.52,48.19,58.0,49.21,46.26,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Acer TravelMate TMP215-53 Laptop,Acer, Pentium Gold 7505,4,0,1000,Intel Integrated,Windows,15.6,1366 x 768,2,4,53,26990,23.28,1.06,30,50,18.3,23.41,32.09,24.75,21.97,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
HP 430 G8 366B1PA Business Laptop,HP,11th Gen Core i7,8,512,0,Graphics & Networking: Intel Iris X Graphics,Windows,13.3,,0,0,0,111500,86.0,28.12,55,75,53.65,62.13,68.61,61.58,60.79,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
MSI Creator M16 A11UC-669IN Laptop,MSI,11th Gen Core i7,16,512,0,4 GB NVIDIA GeForce RTX3050,Windows,16.0,2560 x 1600,8,16,78,115990,86.0,13.04,80,75,50.62,64.61,73.35,64.06,61.26,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
Lenovo ThinkPad X1 Yoga 20XYS00R00 Laptop,Lenovo,11th Gen Core i7,16,1000,0,Intel UHD Graphics,Windows,14.0,1920 x 1080,4,8,66,248890,86.0,16.42,80,90,54.39,67.7,78.94,67.9,64.53,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
Lenovo ThinkPad T14 2021 20W0S03F00 Laptop,Lenovo,11th Gen Core i5,8,512,0,512 MB Intel Integrated,Windows,14.0,1920 x 1080,4,8,66,87000,71.0,16.42,55,75,44.64,53.96,62.94,54.16,52.03,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
Huawei MateBook D14 Laptop,Huawei,10th Gen Core i5,8,512,0,Intel UHD Graphics,Windows,14.0,1920 x 1080,4,8,62,71901,99.91,16.42,55,75,51.87,64.07,71.61,62.83,62.14,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Lenovo IdeaPad Slim 5 82FG01HAIN Laptop,Lenovo,11th Gen Core i5,16,512,0,Intel Iris Xe Graphics,Windows,15.6,1920 x 1080,4,8,53,59990,71.0,28.12,80,75,53.65,63.13,70.36,63.33,60.54,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
Asus VivoBook 14 2021 X415KA-BV121WS Laptop,Asus,Intel Silver N6000,8,256,0,Intel Integrated Intel UHD,Windows,14.1,1366 x 768,4,4,48,28990,13.24,16.42,55,60,27.95,31.49,40.36,33.83,29.56,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
Dell Inspiron 3511 Laptop,Dell,11th Gen Core i3,8,512,1000,Intel UHD Graphics,Windows,15.56,1920 x 1080,2,4,57,46499,54.52,16.42,55,80,41.27,48.94,59.75,50.21,47.01,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Lenovo V14 G2-ITL ﻿82KAA05VIH Laptop,Lenovo,11th Gen Core i3,4,256,0,Intel Integrated UHD,Windows,15.0,1920 x 1080,2,4,50,39000,54.52,16.42,30,60,34.52,39.69,46.5,39.96,39.01,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
Huawei MateBook 14 2021‎ WDH9A Laptop,Huawei,11th Gen Core i5,8,512,0,Intel Iris Xe Graphics,Windows,14.0,2160 x 1440,4,8,61,100931,71.0,28.12,55,75,49.9,56.88,64.11,57.08,55.54,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
Asus ROG Zephyrus G14 GA402RJZ-L4136WS Gaming Laptop,Asus,AMD Ryzen 9 6900HS,16,1000,0,8 GB AMD Radeon RX 6700S,Windows,14.0,1920 x 1080,8,16,82,155000,100.0,100.0,80,90,95.5,93.5,91.5,93.0,94.5,Gaming,High Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
HP Envy x360 13-bf0078TU Laptop,HP,12th Gen Core i5,8,512,0,Intel Iris X Graphics,Windows,13.3,1920 x 1080,10,12,65,80990,99.91,14.92,55,75,51.19,63.7,71.46,62.45,61.69,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Asus ROG Flow X16 2022 GV601RM-M5053WS Gaming Laptop,Asus,Ryzen 7 6800HS,16,1000,0,6 GB AMD Radeon Radeon 680M,Windows,16.0,2560 x 1600,8,16,87,187990,100.0,7.39,80,90,53.83,70.35,82.24,69.85,66.72,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Asus ROG Flow X16 2022 GV601RM-M5039WS Gaming Laptop,Asus,Ryzen 9 6900HS,16,1000,0,6 GB AMD Radeon Radeon 680M,Windows,16.0,2560 x 1600,8,0,84,211990,100.0,7.39,80,90,53.83,70.35,82.24,69.85,66.72,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Lenovo V14 Gen 2 82KAA002IH Laptop,Lenovo,11th Gen Core i5,8,512,0,Intel Iris Xe Graphics,DOS,14.0,1920 x 1080,4,8,51,47199,71.0,28.12,55,75,49.9,56.88,64.11,57.08,55.54,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
Avita Pura E NS14A6 Laptop,Avita,10th Gen Core i3,8,256,0,Intel UHD Graphics 620,Windows,14.0,1920 x 1080,2,4,48,29990,54.52,16.42,55,60,38.27,45.94,52.75,46.21,44.01,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
Lenovo ThinkBook 13s ITL Gen 2 20V9A036IH Laptop,Lenovo,11th Gen Core i7,16,512,0,Intel Integrated Iris Xe,Windows,13.0,2560 x 1600,4,8,65,85999,86.0,28.12,80,75,57.4,68.38,74.86,67.83,65.79,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
Lenovo Thinkpad T15P Gen 2 ‎21A7001LUS Laptop,Lenovo,11th Gen Core i7,16,512,0,4 GB NVIDIA GeForce GTX 1650,Windows,14.0,1920 x 1080,8,16,69,219000,86.0,77.12,80,75,79.45,80.63,79.76,80.08,80.49,Gaming,High Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,fallback,benchmark
Lenovo Ideapad Flex 5 82R700ASIN Laptop,Lenovo,12th Gen Core i3,8,512,0,Intel Integrated UHD,Windows,14.0,1920 x 1080,6,8,62,59801,54.52,16.42,55,75,40.52,48.19,58.0,49.21,46.26,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Lenovo Ideapad Slim 3i 82H802EYIN Laptop,Lenovo,11th Gen Core i3,8,256,0,Intel UHD Integrated Graphics,Windows,15.6,1920 x 1080,2,4,54,37000,54.52,16.42,55,60,38.27,45.94,52.75,46.21,44.01,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
Lenovo IdeaPad Flex 5 82R7006HIN Laptop,Lenovo,11th Gen Core i5,16,512,0,Intel Integrated UHD Xe,Windows,14.0,1920 x 1080,4,8,69,74490,71.0,16.42,80,75,48.39,60.2,69.19,60.4,57.03,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
Dell Vostro 3400 Laptop AMD,Dell,Ryzen 5 3450U,8,256,0,AMD Radeon,Windows,14.0,1920 x 1080,4,0,56,36990,29.46,7.39,55,60,27.94,34.91,44.33,36.44,32.53,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
Lenovo Yoga Slim 7 Pro 82NC00FRIN Laptop,Lenovo,11th Gen Core i5,16,512,0,Intel Iris Xe Graphics,Windows,14.0,2880 x 1800,4,8,62,74517,71.0,28.12,80,75,53.65,63.13,70.36,63.33,60.54,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
MSI Katana GF66 12UC-636IN Gaming Laptop,MSI,12th Gen Core i5,8,512,0,4 GB NVIDIA GeForce RTX 3050,Windows,15.6,1920 x 1080,12,16,67,70990,99.91,100.0,55,75,89.48,84.97,79.97,83.72,87.22,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
MSI Gaming Katana GF76 11UC-848IN Laptop,MSI,11th Gen Core i7,16,512,0,4 GB Nvidia RTX 3050,Windows,17.32,1920 x 1080,8,16,69,76990,86.0,70.0,80,75,76.25,78.85,79.05,78.3,78.35,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,fallback,fallback
MSI Gaming Katana GF76 11UD-849IN Laptop,MSI,11th Gen Core i7,16,512,0,4 GB Nvidia RTX 3050 Ti,Windows,17.32,1920 x 1080,8,16,69,82990,86.0,70.0,80,75,76.25,78.85,79.05,78.3,78.35,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,fallback,fallback
MSI Katana GF66 12UE-1001IN Gaming Laptop,MSI,12th Gen Core i5,16,512,0,6 GB NVIDIA GeForce RTX 3060,Windows,15.6,1920 x 1080,12,16,71,85990,99.91,100.0,80,75,93.23,91.22,86.22,89.97,92.22,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
MSI Gaming Katana GF66 12UE-1002IN Laptop,MSI,12th Gen Core i7,16,1000,0,6 GB Nvidia GeForce RTX 3060,Windows,15.6,1920 x 1080,14,20,78,105990,100.0,100.0,80,90,95.5,93.5,91.5,93.0,94.5,Gaming,High Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Acer Swift X SFX14-41G Laptop,Acer,Ryzen 5 5600U,16,512,0,4 GB NVIDIA GeForce RTX 3050,Windows,14.0,1920 x 1080,6,12,65,76000,64.95,100.0,80,75,84.49,78.98,75.74,79.48,79.98,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Lenovo V14-IGL ‎82C2S02K00 Laptop,Lenovo,Celeron N4020,4,256,0,Intel Integrated UHD,Windows,14.0,1920 x 1080,2,2,49,21999,7.3,16.42,30,60,22.71,23.16,32.33,25.8,22.48,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
HP 255 G8 6V2R7PA Laptop,HP,AMD Athlon 3050U,4,0,1000,AMD Radeon Graphics,DOS,15.6,1366 x 768,2,2,48,24650,13.61,73.06,30,50,48.28,38.03,36.39,39.85,40.18,Gaming,Low Budget,Cocok untuk gaming dan kebutuhan grafis tinggi,benchmark,benchmark
Acer Swift X SFX14-41G Laptop,Acer,AMD Ryzen 5 5600U,16,512,0,4 GB NVIDIA GeForce RTX 3050,Windows,14.0,1920 x 1080,6,12,66,79521,64.95,100.0,80,75,84.49,78.98,75.74,79.48,79.98,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Asus TUF Gaming F15 FX566HCB-HN231T Gaming Laptop,Asus,11th Gen Core i7,8,1000,0,4 GB ‎NVIDIA GeForce RTX 3050,Windows,15.6,1920 x 1080,8,16,65,101000,86.0,100.0,55,90,88.25,82.35,81.05,82.55,84.6,Gaming,High Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,fallback,benchmark
Dell Vostro 3400 Laptop,Dell,11th Gen Core i3,8,0,1000,Intel Integrated Iris Xe,Windows,14.0,1920 x 1080,2,4,56,38499,54.52,28.12,55,50,42.03,47.36,50.42,47.14,46.02,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
Asus ROG Flow X13 GV301RC-LJ073WS Gaming Laptop,Asus,AMD Ryzen 9 6900HS,32,1000,0,4 GB ‎NVIDIA GeForce RTX 3050,Windows,13.4,1920 x 1200,8,16,81,151990,100.0,100.0,95,90,97.75,97.25,95.25,96.75,97.5,Gaming,High Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
AGB Octev GA-9009 Gaming Laptop,AGB,11th Gen Core i7,16,1000,0,2 GB NVIDIA Geforce MX450,Windows,15.6,1920 x 1080,4,8,61,65000,86.0,37.49,80,90,63.87,72.97,81.05,73.17,70.85,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
Lenovo Thinkbook 14 Gen 2 20VDA0G9IH Laptop,Lenovo,11th Gen Core i5,8,512,0,Intel Iris Xe Graphics,Windows,14.0,1920 x 1080,4,8,57,83399,71.0,28.12,55,75,49.9,56.88,64.11,57.08,55.54,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
Asus ROG Flow X13 GV301RE-LJ156WS Gaming Laptop,Asus,AMD Ryzen 9 6900HS,32,1000,0,4 GB ‎NVIDIA GeForce RTX 3050 Ti,Windows,13.4,1920 x 1200,8,16,81,171990,100.0,100.0,95,90,97.75,97.25,95.25,96.75,97.5,Gaming,High Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Gigabyte Aorus 5 SE4 Gaming Laptop,Gigabyte,12th Gen Core i7,16,512,0,8 GB NVIDIA GeForce RTX 3070,Windows,15.6,2560 x 1440,14,20,75,144990,100.0,100.0,80,75,93.25,91.25,86.25,90.0,92.25,Gaming,High Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
HP Victus 15-fb0052AX Gaming Laptop,HP,AMD Ryzen 7 5800H,8,512,0,4 GB NVIDIA GeForce RTX 3050,Windows,15.6,1920 x 1080,8,16,74,78650,91.22,100.0,55,75,87.3,81.93,77.37,81.12,84.18,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Lenovo Ideapad Flex 5 14IAU7 82R7006EIN Laptop,Lenovo,12th Gen Core i3,8,512,0,Intel Integrated UHD,Windows,14.0,1920 x 1080,6,8,61,60990,54.52,16.42,55,75,40.52,48.19,58.0,49.21,46.26,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Lenovo Thinkpad L13 Gen 2 20VHS07500 Laptop,Lenovo,11th Gen Core i5,16,512,0,Intel Iris Xe Graphics,Windows,14.0,1920 x 1080,4,8,66,92999,71.0,28.12,80,75,53.65,63.13,70.36,63.33,60.54,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
Lenovo 15ACH6 82JW00P5IN Laptop,Lenovo,Ryzen 5 5600H,16,512,0,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1200,6,12,71,69990,73.2,77.12,80,75,76.25,76.15,75.92,76.24,76.01,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
